एक बस चार तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पंचावन्न मिनिटं आहेत,Emotion
अमरापूर गावाला रुपेरी पडद्यावर ओळख निर्माण करून दिली ती सदाशिव अमरापूर यांनीच,neutral
आज लंडनमध्ये कमाल तापमान पंचवीस अंश सेल्सिअस असेल असा अंदाज आहे,neutral
आता ती छत्री कुठे आहे ?,neutral
मी तुमच्यासाठी काय करू शकते ?,neutral
तरीही मी तुमच्यासाठी काही माहिती गोळा करू शकते . तुम्हाला काय जाणून घ्यायला आवडेल ?,neutral
खरं म्हणजे तुम्हाला मदत करणं मला आवडतं . पण दुर्दैवाने ह्याबाबतीत मी तुम्हाला मदत करू शकणार नाही,neutral
कधीकधी मी चुकून मस्करी करते,neutral
"काही लोक कुबेराची पूजा करतात , तर काही लोक देवीची पूजा करून तूपभात व साखर खातात",neutral
तुम्ही कधी लॉ टमाटिनाबद्दल ऐकलं आहे का ?,neutral
आचार्य अत्र्यांनीच त्यांना लावणीसम्राज्ञी असा किताब दिला,neutral
पहिली क्रेन कधी बनवली होती ते तुम्हाला माहीत आहे का ?,neutral
आपल्या अभिनयासाठी काजोलने आजवर सहा फिल्मफेअर पुरस्कार जिंकले आहेत . त्यांपैकी विक्रमी पाच पुरस्कार सर्वोत्तम अभिनेत्री ह्या श्रेणीमध्ये आहेत,neutral
एवढंच नाही तर आपल्या गाण्यांबरोबर त्या चित्रपटांना त्यांतल्या अभिनेत्रींनादेखील अजरामर केलं,neutral
एकाच वेळी पुस्तक वाचणं आणि चित्रपट पाहणं कठीण वाटतं,neutral
अश्विन पौर्णिमेस होणाऱ्या प्राचीन लोकोत्सवाला वात्स्यायनाने कौमुदीजागर व वामन पुराणाने दीपदानजागर म्हटलं आहे,neutral
"एकलव्याचं आणखी एक रहस्य उलगडतं , ते म्हणजे एकलव्य हा श्रीकृष्णाचा चुलतभाऊ होय",neutral
का नाही काहीतरी करुया ?,neutral
एम्मा थॉम्पसन ही हा सन्मान प्राप्त झालेली अठरावी महिला आहे आणि याचा तिला रास्त अभिमान आहे,neutral
तरीही मी तुमच्यासाठी थोडीफार माहिती गोळा करू शकतो तुम्हाला काय जाणून घ्यायला आवडेल ?,neutral
अमोलने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात एकोणिसावा आला,neutral
आता हे माझ्या डोक्याला चिकटलं आहे,neutral
आपण जाणते अजाणतेपणी अशी काही कामं करतो की भविष्यात ती कामं आपल्यासमोर अडचणी बनून येतात,neutral
आता एच डी एफ सी बँकेची अठरावी शाखा महात्मा ज्योतिबा फुले मंडईजवळ उघडते आहे परवा तिचा उद्घाटन समारंभ आहे,neutral
एकशे वीस क्रमांकाच्या विमानासाठी शेवटचा बोर्डिंग कॉल,neutral
तुम्हाला असं वाटलं याबद्दल माफ करा . मी तुम्हाला काय मदत करू शकतो ?,neutral
कढईमध्ये तेल गरम करून त्यात मोहरी टाकावी,neutral
काश्मिर पाहण्याची मोठी इच्छा आहे,neutral
आपण सगळेच गडबड करतो . मी फक्त ते शक्य तितक्या मजेशीर पद्धतीने करायचा प्रयत्न करते,neutral
आता एच डी एफ सी बँकेची अकरावी शाखा तुळशीबाग मार्केटजवळ उघडते आहे . परवा तिचा उद्घाटन समारंभ आहे,neutral
अनेक मंदिरांमध्ये शेजारतीपूर्वी देवाला विडा देण्याची पद्धत असते,neutral
अमोलने यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात पहिला आला,neutral
कॅथरीन हेपबर्न ही हा सन्मान प्राप्त झालेली तेरावी महिला आहे आणि याचा तिला रास्त अभिमान आहे,neutral
मी तुम्हाला कशाप्रकारे मदत करू शकतो ?,neutral
छान . मी तुमच्यासाठी काय करू शकते ?,neutral
अश्विनी परवा नैरोबीमध्ये गेली होती तेव्हा तिथल्या एका रस्त्यावर तिला जॉर्ज क्लूनीचा पुतळा दिसला,neutral
इशांत शर्मा हा मिला कुनिसचा आवडता क्रिकेटपटू आहे त्याचा सामना ती कधीच चुकवत नाही,neutral
अनुष्का शर्मा यांना जॅझ इतके आवडते की गेली अनेक वर्षे त्या याचे शास्त्रशुद्ध शिक्षण घेत आहेत व त्यांनी यात बरीच प्रगती केली आहे,neutral
मला मदत करायची आहे हे मला माहीत आहे . मी तुमच्यासाठी काय करू शकते ?,neutral
ओह मी तुम्हाला काय मदत करू शकतो ?,neutral
अश्विनीचा जन्म दोन हजार नऊ सालातील जुलै या महिन्यात बोईसर इथे झाला,neutral
अरेरे मी तुम्हाला काय मदत करू शकतो ?,neutral
"मी जे केलं , तेच आहे का हे ? तुम्ही ह्याची तक्रार इथे करू शकता",neutral
अँड्रू मॅकडोनाल्डने गेल्या सामन्यात अपूर्व कामगिरी करून दाखवल्यावर यावेळी मुंबई इंडियन्स संघाने त्याच्या मानधनात घसघशीत वाढ केली,neutral
आफ्टर अवर्स ट्रेडिंगमधे गुगल दोन दशांश तीन टक्क्यांनी वाढून सातशे पन्नास डाॅलरवर आलं आहे,neutral
